,Context,English,Spanish,Finnish,German,Japanese,Portuguese,French,Italian,Korean,Turkish,Polish,,,,,,,,,,,,,,,
you_blocked_player,,You've blocked {0}.,Has bloqueado a {0}. Ya no podrá entrar en tus salas y no verás sus mensajes.<br><br>Puedes desbloquearlo escribiendo lo siguiente en el chat:<br>/desbloquear {1},"Olet estänyt {0}. Hän ei voi enää liittyä auloihisi, etkä näe hänen viestejään.<br><br>Voit poistaa hänen estonsa kirjoittamalla chatissa seuraavan:<br>/unblock {1}","Du hast {0} blockiert. Sie können Ihren Lobbys nicht mehr beitreten und Sie werden deine Nachrichten nicht sehen.<br><br>du kannst die Blockierung aufheben, indem du im Chat Folgendes eingibst <br>/unblock {1}",,Você bloqueou {0}. Ele(a) não poderá mais entrar em seus lobbies e você não verá as suas mensagens.<br><br>Você pode desbloqueá-lo digitando o seguinte no bate-papo:<br>/unblock {1},Vous avez bloqué {0}. Il ne peut plus rejoindre vos groupes et vous ne verrez pas ses messages.<br><br>Vous pouvez le débloquer en tapant ce qui suit dans le chat:<br>/unblock {1},,,{0} oyuncusunu engellediniz. Artık lobilerinize katılamazlar ve mesajlarını göremezsiniz.<br><br>Sohbette aşağıdakileri yazarak engellemeyi kaldırabilirsiniz:<br>/unblock {1},"Zablokowałeś {0}. Nie może już dołączyć do twojego lobby i nie zobaczysz jego wiadomości.<br><br>Możesz go odblokować, wpisując na czacie: <br>/unblock {1}.",,,,,,,,,,,,,,,
you_unblocked_player,,You've unblocked {0}.,Has desbloqueado a {0}. Ahora podrán ver tus salas abiertas y tú podrás ver sus mensajes.,Olet poistanut {0}:n eston. Hän voi nyt nähdä avoimet aulasi ja sinä näet hänen viestinsä.,Du hast {0} entblockt. Sie können nun eure offenen Lobbys sehen und ihr könnt ihre Nachrichten sehen.,,Você desbloqueou {0}. Agora eles podem ver seus lobbies abertos e você poderá ver as mensagens deles.,Vous avez débloqué {0}. Il peux maintenant voir vos groupes ouverts et vous pouvez voir ses messages.,,,{0} oyuncusunun engelini kaldırdınız. Artık açık lobilerinizi görebilecekler ve siz de onların mesajlarını görebileceksiniz.,"Odblokowałeś {0}. Mogą teraz zobaczyć twoje otwarte lobby, a ty będziesz mógł zobaczyć ich wiadomości.",,,,,,,,,,,,,,,
leave_combat_party_to_do_this,,You'll need to leave your combat party to do this.,Tendrás que abandonar tu grupo de combate para hacerlo.,Sinun on poistuttava taisteluosastostasi tehdäksesi tämän.,Dazu müsst du deine Kampfgruppe verlassen.,,Você precisará sair do seu grupo de combate para fazer isso.,"Pour ce faire, vous devez quitter votre groupe de combat.",,,Bunu yapmak için savaş partinizden ayrılmanız gerekecek.,"Aby to zrobić, musisz opuścić swoją grupę bojową.",,,,,,,,,,,,,,,
your_lobby_is_full_and_no_longer_public,,Your lobby has become full and is no longer public.,Tu sala se ha llenado y ya no es pública.,Aulasi on tullut täyteen eikä ole enää julkinen.,Deine Lobby ist jetzt voll und nicht mehr öffentlich.,,Seu lobby ficou cheio e não é mais público.,Votre groupe est plein et n'est plus public.,,,Lobiniz doldu ve artık herkese açık değil.,Twoje lobby zostało zapełnione i nie jest już publiczne.,,,,,,,,,,,,,,,
delete_clan_grace_period_done_info,,"You've opted for your clan to be deleted and the grace period has passed. If you press the ""Leave clan"" button and you're alone in the clan, the clan will be permanently deleted.","Has optado por que tu clan sea eliminado y el periodo de gracia ha pasado. Si pulsas el botón ""Abandonar clan"" y estás solo en el clan, éste se eliminará permanentemente.","Olet pättänyt poistaa klaanisi ja armonaika on kulunut. Jos painat ""Lähde klaanista"" -painiketta ja olet yksin klaanissa, klaani poistetaan pysyvästi.","Du hast dich für die Löschung deines Clans entschieden und die Schonfrist ist abgelaufen. Wenn du auf die Schaltfläche ""Clan verlassen"" drückst und du allein im Clan bist, wird der Clan dauerhaft gelöscht.",,"Você optou pela exclusão do seu clã e o período de carência já passou. Se você pressionar o botão ""Leave clan"" (Sair do clã) e estiver sozinho no clã, o clã será excluído permanentemente.","Vous avez choisi de supprimer votre clan et le délai de grâce est écoulé. Si vous appuyez sur le bouton ""Quitter le clan"" et que vous êtes seul dans le clan, celui-ci sera définitivement supprimé.",,,"Klanınızın silinmesini seçtiniz ve ek süre geçti. ""Klandan ayrıl"" düğmesine basarsanız ve klanda yalnızsanız, klan kalıcı olarak silinecektir.","Zdecydowałeś się na usunięcie swojego klanu, a okres karencji minął. Jeśli naciśniesz przycisk ""Opuść klan"" i jesteś sam w klanie, klan zostanie trwale usunięty.",,,,,,,,,,,,,,,
delete_clan_active_info,,"You've opted for your clan to be deleted, but the grace period is still in-progress.<br><br>You can delete your clan in {0}.","Has optado por que tu clan sea borrado, pero el periodo de gracia aún está en curso.<br><br>Puedes borrar tu clan en {0}.","Olet valinnut klaanisi poistettavaksi, mutta armonaika on vielä kesken.<br><br>Voit poistaa klaanisi {0} kuluttua.","Du hast dich für die Löschung deines Clans entschieden, aber die Schonfrist läuft noch.<br><br>Du kannst deinen Clan in {0} löschen.",,"Você optou pela exclusão do seu clã, mas o período de carência ainda está em andamento.<br><br>Você pode excluir seu clã em {0}.","Vous avez opté pour la suppression de votre clan, mais le délai de grâce est toujours en cours.<br><br>Vous pouvez supprimer votre clan dans {0}.",,,Klanınızın silinmesini seçtiniz ancak ek süre hala devam ediyor.<br><br>Klanınızı {0} içinde silebilirsiniz.,"Zdecydowałeś się na usunięcie klanu, ale okres karencji wciąż trwa.<br><br>Możesz usunąć swój klan w {0}.",,,,,,,,,,,,,,,
abort_deletion,,Abort deletion,Abortar borrado,Keskeytä poisto,Löschung abbrechen,,Abortar a exclusão,Abandonner la suppression,,,Silme işlemini iptal et,Przerwij usuwanie,,,,,,,,,,,,,,,
guild_deletion_in_progress,,Clan deletion in-progress,Supresión de clanes en curso,Klaanin poisto käynnissä,Clan-Löschung im Gange,,Exclusão do clã em andamento,Suppression de clans en cours,,,Klan silme işlemi devam ediyor,Trwa usuwanie klanu,,,,,,,,,,,,,,,
party,,Party,Grupo,Ryhmä,Gruppe,,Grupo,Groupe,,,Grup,Grupa,,,,,,,,,,,,,,,
chat_is_offline,,The chat service couldn't be reached. It might be undergoing maintenance - please try again in a moment.,"No se ha podido contactar con el servicio de chat. Es posible que esté en mantenimiento - por favor, inténtalo de nuevo en un momento.",Chat-palvelua ei tavoitettu. Sitä saatetaan ylläpitää - yritä hetken kuluttua uudelleen.,"Der chat-Server konnte nicht erreicht werden. Es finden möglicherweise aktuell Wartungsarbeiten statt, bitte probiere es in einigen Minuten nochmal.",,"O serviço de chat não pôde ser acessado. Pode estar em manutenção - por favor, tente novamente em aluns instantes.",Le chat est innacessible. Le tchat est peut-être en cours de maintenance. Veuillez réessayer dans quelques instants.,,,Sohbet servisine ulaşılamadı. Bakım yapılıyor olabilir - lütfen biraz sonra tekrar deneyin.,Nie udało połączyć się z usługą czatu. Być może trwa jej konserwacja — spróbuj ponownie za chwilę.,,,,,,,,,,,,,,,
chat_disconnection_because_chatbox_wasnt_opened,,You were disconnected from the chat as you hadn't taken a look at it after logging in.,Te has desconectado del chat porque no le habías echado un vistazo después de conectarte.,"Sinulta katkaistiin yhteys chattiin, koska et ollut katsonut sitä kirjautumisen jälkeen.","Deine Verbindung zum Chat wurde ausgeschaltet, da du das Chat-fenster nach dem Anmelden nicht geöffnet hattest.",,Você foi desconectado do chat por não tê-lo olhado após fazer login.,Vous avez été déconnecté du chat car vous n'y aviez pas jeté un œil après vous être connecté.,,,Giriş yaptıktan sonra sohbete göz atmadığınız için sohbet bağlantınız kesildi.,"Zostałeś rozłaczony z czatem, ponieważ nie zajrzałeś do niego po zalogowaniu.",,,,,,,,,,,,,,,
clanhub,,Clan hub,Centro del clan,Klaanin keskus,Clan treffpunkt,,,Clan hub,,,Klan merkezi,Centrum Klanowe,,,,,,,,,,,,,,,
combatlfg,,Combat-LFG,Combate-LFG,Combat-LFG,Kampf-gruppensuche,,,Combats-Recherche de groupe,,,Savaş Takımı Arama,Walka - Poszukiwanie grupy,,,,,,,,,,,,,,,
raidlfg,,Raids-LFG,Incursiones-LFG,Raid-LFG,Raid-gruppensuche,,,Raids-Recherche de groupe,,,Baskın Takımı Arama,Najazdy - Poszukiwanie grupy,,,,,,,,,,,,,,,
need_to_be_connected_to_chat_to_do_this,,You need to be connected to the chat to do this.<br><br>Would you like to connect now?,Necesitas estar conectado al chat para hacer esto<br><br>¿Quieres conectarte ahora?,"Sinun on oltava yhteydessä chattiin, jotta voit tehdä tämän<br><br>Haluatko muodostaa yhteyden nyt?",Du must mit dem Chat verbunden seien um dies zu tun. <br><br> Würdest du dich gerne mit dem Chat verbinden ?,,Você precisa estar conectado ao chat para fazer isso. Você gostaria de se conectar agora?,Vous avez besoin d'être connecté au chat pour faire cela <.br><br>. Voudriez-vous vous connecter maintenant ?,,,Bunu yapmak için sohbete bağlı olmanız gerekir<.br><br>Şimdi bağlanmak ister misiniz?,"Musisz być połączony z czatem, aby to zrobić <.br> <br> Czy chcesz się teraz połączyć?",,,,,,,,,,,,,,,
clan_public,,Clan recruiting,Reclutamiento de clanes,Klaanin rekrytointi,Clan rekrutierung,,Recrutamento de clã,Clan recrutant,,,Klan üye alımı,Klan rekrutuje,,,,,,,,,,,,,,,
clan_private,,Private clan chat,Chat privado del clan,Klaanin yksityinen chat,Privater Clan Chat,,Chat privado do clã,chat privé de clan,,,Özel klan sohbeti,Prywatny czat klanowy,,,,,,,,,,,,,,,
request_success,,Your request was a success.,Tu solicitud fue un éxito.,Pyyntösi onnistui.,Deine Anfrage war erfolgreich.,,Sua solicitação foi um sucesso.,Votre action a été un succès,,,İsteğiniz başarılı oldu.,Twoja prośba została rozpatrzona pozytywnie.,,,,,,,,,,,,,,,
request_failure,,Your request failed.,Tu solicitud ha fallado.,Pyyntösi epäonnistui.,Deine Anfrage wurde abgelehnt.,,Sua solicitação falhou,Votre action a été un éche,,,İsteğiniz başarısız oldu.,Twoja prośba została rozpatrzona negatywnie.,,,,,,,,,,,,,,,
missing_priviledges,,You don't have the priviledges to do that.,No tienes privilegios para hacerlo.,Sinulla ei ole oikeuksia tähän.,Du hast nicht die Privilegien um dies zu tun.,,Você não tem privilégios para fazer isso,Vous n'avez pas les privilèges pour faire cela.,,,Bunu yapmak için yetkileriniz yok.,Nie masz do tego odpowiednich uprawnień,,,,,,,,,,,,,,,
device_notifications_settings_title,,Device notifications (mobile only),Notificaciones de dispositivo (sólo móvil),Laiteilmoitukset (vain mobiililaitteet),Benachrichtigungen (nur mobil),,Notificações do dispositivo (apenas para celular),Notifications (mobiles seulement),,,Cihaz bildirimleri (yalnızca mobil),Powiadomienia (tylko dla urządzeń mobilnych),,,,,,,,,,,,,,,
fps_target_descriptive,,FPS target: {0}. Low FPS reduces game performance but saves battery and uses less resources.,Objetivo de FPS: {0}. Los FPS bajos reducen la perfromance del juego pero ahorran batería y usan menos recursos.,"FPS-tavoite: {0}. Alhainen FPS vähentää pelin suorituskykyä, mutta säästää akkua ja käyttää vähemmän resursseja.",Ziel FPS: {0}. Niedrige FPS reduzieren Stromverbrauch auf kosten von Grafik.,,"Meta de FPS: {0}. FPS baixo reduz o desempenho do jogo, mas economiza bateria e usa menos recursos.",FPS : {0}. FPS bas réduit les performances du jeu mais utilise moins de ressources et économise la batterie.,,,FPS hedefi: {0}. Düşük FPS oyun performansını düşürür ancak pil tasarrufu sağlar ve daha az kaynak kullanır.,"FPS: {0}. Niska ilość klatek na sekundę zmniejsza wydajność gry, ale oszczędza baterie i zużywa mniej zasobów.",,,,,,,,,,,,,,,
audio,,Audio,Audio,Audio,Audio,,Áudio,Audio,Audio,,Ses,Dźwięk,,,,,,,,,,,,,,,
disconnect,,Disconnect,Desconectar,Katkaise yhteys,Verbindung trennen,,Desconectar,Déconnecté,Disconnetti,,Bağlantıyı Kes,Rozłączenie,,,,,,,,,,,,,,,
commands,,Commands,Comandos,Komennot,Befehle,,Comandos,Commandes,Comandi,,Komutlar,Komendy,,,,,,,,,,,,,,,
collected_clan_credits,Try to keep this about as short as the english version,Clan credit additions,Añadir créditos al clan,Klaaniluottojen lisäykset,Clancredite verdient,,Adições de créditos ao clã,Ajout de clan crédit.,,,Klan kredisi eklemeleri,Zebrane kredyty klanowe,,,,,,,,,,,,,,,
clan_member_logged_in,Try to keep this about as short as the english version,Clan member log in,Inicio de sesión de miembro de clan,Klaanin jäsenen kirjautuminen sisään,Clanmitglied angemeldet,,Membro do clã entrou,Membre du clan connecté,,,Klan üyesi giriş yaptı,Członek klanu zalogował się,,,,,,,,,,,,,,,
clan_member_logged_out,Try to keep this about as short as the english version,Clan member log out,Salida de miembros del clan,Klaanin jäsenen uloskirjautuminen,Clanmitglied abgemeldet,,Membro do clã desconectou,Membre du clan déconnécté,,,Klan üyesi oturumu kapattı,Członek klanu wylogował się,,,,,,,,,,,,,,,
clan_event_local_player_received_loot,Try to keep this about as short as the english version,Event loot received,Botín de evento recibido,Tapahtuman saalis vastaanotettu,Ereignisbelohnung erhalten,,Saque de evento recebido,Butin d'évènement reçu,,,Etkinlik ganimeti alındı,Zdobyte łupy z wydarzenia ,,,,,,,,,,,,,,,
clan_event_remote_player_received_loot,Try to keep this about as short as the english version,Clan member event loot,Botín de evento para miembros del clan,Klaanin jäsenen tapahtumaryöstösaalis,Clanmitglied Ereignisbelohnung,,Saque de evento de membro do clã,Butin d'évènement reçu par membre du clan,,,Klan üyesi etkinlik ganimeti,Łupy z wydarzenia dla członków klanu,,,,,,,,,,,,,,,
clan_event_invitation,Try to keep this about as short as the english version,Invitation to clan event,Invitación a un evento de clan,Kutsu klaanitapahtumaan,Clanereignis-einladung,,Convite para evento do clã,Invitation à l'évènement de clan,,,Klan etkinliğine davet,Zaproszenie na wydarzenie klanowe,,,,,,,,,,,,,,,
clan_recruitment_setting_update,Try to keep this about as short as the english version,Clan recruitment update,Actualización de reclutamiento del clan,Klaanin rekrytointipäivitys,Clan rekrutierungsänderung,,Atualização de recrutamento do clã,Mise à jour du recrutement de clan,,,Klan üye alım güncellemesi,Aktualizacja dotycząca rekrutacji do klanu,,,,,,,,,,,,,,,
rare_monster_drop,Try to keep this about as short as the english version,Rare monster item drop,Obtención de objetos raros de monstruos,Harvinaisten hirviöiden esineiden pudotus,Seltener Monstergegenstand,,Item raro deixado por monstro,Objet de monstre rare,,,Nadir canavar eşyası düşmesi,Potwór upuścił rzadki przedmiot,,,,,,,,,,,,,,,
clan_quest_save_triggered,Try to keep this about as short as the english version,Quest contribution,Contribución a la misión,Tehtävän osuus,Missionsbeitrag,,Contribuição de missão,Contribution à la quête,,,Görev katkısı,Wkład w zadanie,,,,,,,,,,,,,,,
clan_member_add_item_to_vault,Try to keep this about as short as the english version,Item added to vault,Objeto añadido al almacén,Holviin lisätty esine,Clantresor hinzugefügt,,Item adicionado ao cofre,Objet ajouté au coffre du clan,,,Kasaya eklenen öğe,Przedmiot dodany do skarbca,,,,,,,,,,,,,,,
clan_member_withdraw_item_from_vault,Try to keep this about as short as the english version,Item removed from vault,Objeto retirado de la caja fuerte,Holvista poistettu esine,Clantresor entfernt,,Item removido do cofre,Objet retiré du coffre du clan,,,Ürün kasadan çıkarıldı,Przedmiot zabrany ze skarbca,,,,,,,,,,,,,,,
